,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
107,0 days 01:47:21.552000,17.5,46.0,936.0,False,17.1,216,4.5
108,0 days 01:48:21.569000,17.5,46.0,936.1,False,17.0,270,2.8
110,0 days 01:50:21.585000,17.4,45.0,936.1,False,17.0,229,3.2
111,0 days 01:51:21.598000,17.4,45.0,936.0,False,17.0,243,3.5
113,0 days 01:53:21.615000,17.3,44.0,936.1,False,17.0,227,3.5
115,0 days 01:55:21.639000,17.3,44.0,936.0,False,16.9,265,4.4
116,0 days 01:56:21.640000,17.4,44.0,936.1,False,16.9,245,2.7
118,0 days 01:58:21.633000,17.3,43.0,936.1,False,16.9,226,3.4
120,0 days 02:00:21.652000,17.3,43.0,936.0,False,16.8,207,4.3
121,0 days 02:01:21.668000,17.3,43.0,936.0,False,16.8,202,3.4
123,0 days 02:03:21.672000,17.2,43.0,935.9,False,16.8,240,3.2
124,0 days 02:04:21.681000,17.2,43.0,936.2,False,16.8,229,3.2
126,0 days 02:06:21.674000,17.2,43.0,936.1,False,16.8,245,4.7
128,0 days 02:08:21.674000,17.1,43.0,936.1,False,16.8,300,3.2
129,0 days 02:09:21.676000,17.1,43.0,936.0,False,16.8,254,3.0
131,0 days 02:11:21.676000,17.1,43.0,936.2,False,16.7,215,4.4
132,0 days 02:12:21.694000,17.0,43.0,936.2,False,16.7,263,5.0
134,0 days 02:14:21.729000,17.1,43.0,936.2,False,16.7,197,3.4
136,0 days 02:16:21.755000,17.1,43.0,936.2,False,16.7,238,3.2
137,0 days 02:17:21.775000,17.1,43.0,936.1,False,16.7,234,4.0
57,0 days 00:57:21.246000,18.0,51.0,935.8,False,18.0,297,2.7
58,0 days 00:58:21.259000,18.0,50.0,936.0,False,18.2,274,1.2
60,0 days 01:00:21.255000,18.0,50.0,935.9,False,18.0,263,1.1
62,0 days 01:02:21.270000,18.0,50.0,936.0,False,17.9,243,2.7
63,0 days 01:03:21.283000,17.9,50.0,935.9,False,17.8,227,2.7
65,0 days 01:05:21.289000,17.9,51.0,935.9,False,17.7,255,2.0
67,0 days 01:07:21.296000,17.9,50.0,935.9,False,17.7,208,2.7
68,0 days 01:08:21.312000,17.9,50.0,935.9,False,17.6,256,2.9
70,0 days 01:10:21.324000,17.9,51.0,936.0,False,17.6,256,3.1
72,0 days 01:12:21.338000,17.9,50.0,936.0,False,17.7,261,2.0
73,0 days 01:13:21.360000,17.9,51.0,935.9,False,17.6,271,3.1
75,0 days 01:15:21.376000,17.9,51.0,936.0,False,17.7,258,1.7
77,0 days 01:17:21.390000,17.9,50.0,935.8,False,17.5,223,2.1
79,0 days 01:19:21.387000,17.8,50.0,936.1,False,17.5,257,2.5
80,0 days 01:20:21.391000,17.7,50.0,936.0,False,17.5,252,2.5
82,0 days 01:22:21.420000,17.7,50.0,936.0,False,17.4,273,3.9
83,0 days 01:23:21.426000,17.7,50.0,936.2,False,17.4,242,3.7
85,0 days 01:25:21.441000,17.6,50.0,936.2,False,17.3,234,3.0
87,0 days 01:27:21.440000,17.6,50.0,936.0,False,17.3,243,3.1
88,0 days 01:28:21.448000,17.6,49.0,935.9,False,17.4,258,2.4
90,0 days 01:30:21.458000,17.6,49.0,935.9,False,17.4,256,3.3
92,0 days 01:32:21.489000,17.6,49.0,936.0,False,17.2,242,2.4
93,0 days 01:33:21.507000,17.6,48.0,935.8,False,17.3,218,3.7
95,0 days 01:35:21.525000,17.6,49.0,935.9,False,17.2,246,3.4
97,0 days 01:37:21.531000,17.6,48.0,936.0,False,17.2,219,3.3
98,0 days 01:38:21.532000,17.6,48.0,936.1,False,17.2,230,4.7
100,0 days 01:40:21.530000,17.6,48.0,936.0,False,17.2,247,2.5
101,0 days 01:41:21.540000,17.5,47.0,936.0,False,17.1,197,4.9
103,0 days 01:43:21.533000,17.6,47.0,936.2,False,17.0,235,2.9
105,0 days 01:45:21.536000,17.5,47.0,936.0,False,17.1,203,4.2
107,0 days 01:47:21.552000,17.5,46.0,936.0,False,17.1,216,4.5
108,0 days 01:48:21.569000,17.5,46.0,936.1,False,17.0,270,2.8
110,0 days 01:50:21.585000,17.4,45.0,936.1,False,17.0,229,3.2
112,0 days 01:52:21.598000,17.3,45.0,936.1,False,17.0,216,1.7
113,0 days 01:53:21.615000,17.3,44.0,936.1,False,17.0,227,3.5
115,0 days 01:55:21.639000,17.3,44.0,936.0,False,16.9,265,4.4
116,0 days 01:56:21.640000,17.4,44.0,936.1,False,16.9,245,2.7
118,0 days 01:58:21.633000,17.3,43.0,936.1,False,16.9,226,3.4
120,0 days 02:00:21.652000,17.3,43.0,936.0,False,16.8,207,4.3
121,0 days 02:01:21.668000,17.3,43.0,936.0,False,16.8,202,3.4
123,0 days 02:03:21.672000,17.2,43.0,935.9,False,16.8,240,3.2
124,0 days 02:04:21.681000,17.2,43.0,936.2,False,16.8,229,3.2
126,0 days 02:06:21.674000,17.2,43.0,936.1,False,16.8,245,4.7
128,0 days 02:08:21.674000,17.1,43.0,936.1,False,16.8,300,3.2
129,0 days 02:09:21.676000,17.1,43.0,936.0,False,16.8,254,3.0
131,0 days 02:11:21.676000,17.1,43.0,936.2,False,16.7,215,4.4
132,0 days 02:12:21.694000,17.0,43.0,936.2,False,16.7,263,5.0
134,0 days 02:14:21.729000,17.1,43.0,936.2,False,16.7,197,3.4
136,0 days 02:16:21.755000,17.1,43.0,936.2,False,16.7,238,3.2
137,0 days 02:17:21.775000,17.1,43.0,936.1,False,16.7,234,4.0
57,0 days 00:57:21.246000,18.0,51.0,935.8,False,18.0,297,2.7
58,0 days 00:58:21.259000,18.0,50.0,936.0,False,18.2,274,1.2
60,0 days 01:00:21.255000,18.0,50.0,935.9,False,18.0,263,1.1
62,0 days 01:02:21.270000,18.0,50.0,936.0,False,17.9,243,2.7
63,0 days 01:03:21.283000,17.9,50.0,935.9,False,17.8,227,2.7
65,0 days 01:05:21.289000,17.9,51.0,935.9,False,17.7,255,2.0
67,0 days 01:07:21.296000,17.9,50.0,935.9,False,17.7,208,2.7
68,0 days 01:08:21.312000,17.9,50.0,935.9,False,17.6,256,2.9
70,0 days 01:10:21.324000,17.9,51.0,936.0,False,17.6,256,3.1
72,0 days 01:12:21.338000,17.9,50.0,936.0,False,17.7,261,2.0
74,0 days 01:14:21.371000,17.8,51.0,936.0,False,17.6,254,1.8
75,0 days 01:15:21.376000,17.9,51.0,936.0,False,17.7,258,1.7
77,0 days 01:17:21.390000,17.9,50.0,935.8,False,17.5,223,2.1
79,0 days 01:19:21.387000,17.8,50.0,936.1,False,17.5,257,2.5
80,0 days 01:20:21.391000,17.7,50.0,936.0,False,17.5,252,2.5
82,0 days 01:22:21.420000,17.7,50.0,936.0,False,17.4,273,3.9
84,0 days 01:24:21.438000,17.7,50.0,936.2,False,17.4,227,3.2
85,0 days 01:25:21.441000,17.6,50.0,936.2,False,17.3,234,3.0
87,0 days 01:27:21.440000,17.6,50.0,936.0,False,17.3,243,3.1
88,0 days 01:28:21.448000,17.6,49.0,935.9,False,17.4,258,2.4
90,0 days 01:30:21.458000,17.6,49.0,935.9,False,17.4,256,3.3
92,0 days 01:32:21.489000,17.6,49.0,936.0,False,17.2,242,2.4
93,0 days 01:33:21.507000,17.6,48.0,935.8,False,17.3,218,3.7
95,0 days 01:35:21.525000,17.6,49.0,935.9,False,17.2,246,3.4
97,0 days 01:37:21.531000,17.6,48.0,936.0,False,17.2,219,3.3
98,0 days 01:38:21.532000,17.6,48.0,936.1,False,17.2,230,4.7
100,0 days 01:40:21.530000,17.6,48.0,936.0,False,17.2,247,2.5
101,0 days 01:41:21.540000,17.5,47.0,936.0,False,17.1,197,4.9
103,0 days 01:43:21.533000,17.6,47.0,936.2,False,17.0,235,2.9
105,0 days 01:45:21.536000,17.5,47.0,936.0,False,17.1,203,4.2
106,0 days 01:46:21.535000,17.5,46.0,936.0,False,17.1,222,3.4
108,0 days 01:48:21.569000,17.5,46.0,936.1,False,17.0,270,2.8
110,0 days 01:50:21.585000,17.4,45.0,936.1,False,17.0,229,3.2
112,0 days 01:52:21.598000,17.3,45.0,936.1,False,17.0,216,1.7
113,0 days 01:53:21.615000,17.3,44.0,936.1,False,17.0,227,3.5
115,0 days 01:55:21.639000,17.3,44.0,936.0,False,16.9,265,4.4
116,0 days 01:56:21.640000,17.4,44.0,936.1,False,16.9,245,2.7
118,0 days 01:58:21.633000,17.3,43.0,936.1,False,16.9,226,3.4
120,0 days 02:00:21.652000,17.3,43.0,936.0,False,16.8,207,4.3
121,0 days 02:01:21.668000,17.3,43.0,936.0,False,16.8,202,3.4
123,0 days 02:03:21.672000,17.2,43.0,935.9,False,16.8,240,3.2
124,0 days 02:04:21.681000,17.2,43.0,936.2,False,16.8,229,3.2
126,0 days 02:06:21.674000,17.2,43.0,936.1,False,16.8,245,4.7
128,0 days 02:08:21.674000,17.1,43.0,936.1,False,16.8,300,3.2
129,0 days 02:09:21.676000,17.1,43.0,936.0,False,16.8,254,3.0
131,0 days 02:11:21.676000,17.1,43.0,936.2,False,16.7,215,4.4
132,0 days 02:12:21.694000,17.0,43.0,936.2,False,16.7,263,5.0
134,0 days 02:14:21.729000,17.1,43.0,936.2,False,16.7,197,3.4
136,0 days 02:16:21.755000,17.1,43.0,936.2,False,16.7,238,3.2
137,0 days 02:17:21.775000,17.1,43.0,936.1,False,16.7,234,4.0
57,0 days 00:57:21.246000,18.0,51.0,935.8,False,18.0,297,2.7
58,0 days 00:58:21.259000,18.0,50.0,936.0,False,18.2,274,1.2
60,0 days 01:00:21.255000,18.0,50.0,935.9,False,18.0,263,1.1
62,0 days 01:02:21.270000,18.0,50.0,936.0,False,17.9,243,2.7
63,0 days 01:03:21.283000,17.9,50.0,935.9,False,17.8,227,2.7
65,0 days 01:05:21.289000,17.9,51.0,935.9,False,17.7,255,2.0
67,0 days 01:07:21.296000,17.9,50.0,935.9,False,17.7,208,2.7
68,0 days 01:08:21.312000,17.9,50.0,935.9,False,17.6,256,2.9
70,0 days 01:10:21.324000,17.9,51.0,936.0,False,17.6,256,3.1
72,0 days 01:12:21.338000,17.9,50.0,936.0,False,17.7,261,2.0
73,0 days 01:13:21.360000,17.9,51.0,935.9,False,17.6,271,3.1
75,0 days 01:15:21.376000,17.9,51.0,936.0,False,17.7,258,1.7
77,0 days 01:17:21.390000,17.9,50.0,935.8,False,17.5,223,2.1
79,0 days 01:19:21.387000,17.8,50.0,936.1,False,17.5,257,2.5
80,0 days 01:20:21.391000,17.7,50.0,936.0,False,17.5,252,2.5
82,0 days 01:22:21.420000,17.7,50.0,936.0,False,17.4,273,3.9
83,0 days 01:23:21.426000,17.7,50.0,936.2,False,17.4,242,3.7
85,0 days 01:25:21.441000,17.6,50.0,936.2,False,17.3,234,3.0
87,0 days 01:27:21.440000,17.6,50.0,936.0,False,17.3,243,3.1
88,0 days 01:28:21.448000,17.6,49.0,935.9,False,17.4,258,2.4
90,0 days 01:30:21.458000,17.6,49.0,935.9,False,17.4,256,3.3
92,0 days 01:32:21.489000,17.6,49.0,936.0,False,17.2,242,2.4
93,0 days 01:33:21.507000,17.6,48.0,935.8,False,17.3,218,3.7
95,0 days 01:35:21.525000,17.6,49.0,935.9,False,17.2,246,3.4
96,0 days 01:36:21.525000,17.5,49.0,936.0,False,17.1,212,3.5
98,0 days 01:38:21.532000,17.6,48.0,936.1,False,17.2,230,4.7
100,0 days 01:40:21.530000,17.6,48.0,936.0,False,17.2,247,2.5
101,0 days 01:41:21.540000,17.5,47.0,936.0,False,17.1,197,4.9
103,0 days 01:43:21.533000,17.6,47.0,936.2,False,17.0,235,2.9
105,0 days 01:45:21.536000,17.5,47.0,936.0,False,17.1,203,4.2
107,0 days 01:47:21.552000,17.5,46.0,936.0,False,17.1,216,4.5
108,0 days 01:48:21.569000,17.5,46.0,936.1,False,17.0,270,2.8
110,0 days 01:50:21.585000,17.4,45.0,936.1,False,17.0,229,3.2
112,0 days 01:52:21.598000,17.3,45.0,936.1,False,17.0,216,1.7
113,0 days 01:53:21.615000,17.3,44.0,936.1,False,17.0,227,3.5
115,0 days 01:55:21.639000,17.3,44.0,936.0,False,16.9,265,4.4
116,0 days 01:56:21.640000,17.4,44.0,936.1,False,16.9,245,2.7
118,0 days 01:58:21.633000,17.3,43.0,936.1,False,16.9,226,3.4
120,0 days 02:00:21.652000,17.3,43.0,936.0,False,16.8,207,4.3
121,0 days 02:01:21.668000,17.3,43.0,936.0,False,16.8,202,3.4
123,0 days 02:03:21.672000,17.2,43.0,935.9,False,16.8,240,3.2
124,0 days 02:04:21.681000,17.2,43.0,936.2,False,16.8,229,3.2
126,0 days 02:06:21.674000,17.2,43.0,936.1,False,16.8,245,4.7
128,0 days 02:08:21.674000,17.1,43.0,936.1,False,16.8,300,3.2
129,0 days 02:09:21.676000,17.1,43.0,936.0,False,16.8,254,3.0
131,0 days 02:11:21.676000,17.1,43.0,936.2,False,16.7,215,4.4
132,0 days 02:12:21.694000,17.0,43.0,936.2,False,16.7,263,5.0
134,0 days 02:14:21.729000,17.1,43.0,936.2,False,16.7,197,3.4
136,0 days 02:16:21.755000,17.1,43.0,936.2,False,16.7,238,3.2
137,0 days 02:17:21.775000,17.1,43.0,936.1,False,16.7,234,4.0
57,0 days 00:57:21.246000,18.0,51.0,935.8,False,18.0,297,2.7
58,0 days 00:58:21.259000,18.0,50.0,936.0,False,18.2,274,1.2
60,0 days 01:00:21.255000,18.0,50.0,935.9,False,18.0,263,1.1
62,0 days 01:02:21.270000,18.0,50.0,936.0,False,17.9,243,2.7
63,0 days 01:03:21.283000,17.9,50.0,935.9,False,17.8,227,2.7
65,0 days 01:05:21.289000,17.9,51.0,935.9,False,17.7,255,2.0
67,0 days 01:07:21.296000,17.9,50.0,935.9,False,17.7,208,2.7
68,0 days 01:08:21.312000,17.9,50.0,935.9,False,17.6,256,2.9
70,0 days 01:10:21.324000,17.9,51.0,936.0,False,17.6,256,3.1
72,0 days 01:12:21.338000,17.9,50.0,936.0,False,17.7,261,2.0
74,0 days 01:14:21.371000,17.8,51.0,936.0,False,17.6,254,1.8
75,0 days 01:15:21.376000,17.9,51.0,936.0,False,17.7,258,1.7
77,0 days 01:17:21.390000,17.9,50.0,935.8,False,17.5,223,2.1
79,0 days 01:19:21.387000,17.8,50.0,936.1,False,17.5,257,2.5
80,0 days 01:20:21.391000,17.7,50.0,936.0,False,17.5,252,2.5
82,0 days 01:22:21.420000,17.7,50.0,936.0,False,17.4,273,3.9
84,0 days 01:24:21.438000,17.7,50.0,936.2,False,17.4,227,3.2
85,0 days 01:25:21.441000,17.6,50.0,936.2,False,17.3,234,3.0
87,0 days 01:27:21.440000,17.6,50.0,936.0,False,17.3,243,3.1
88,0 days 01:28:21.448000,17.6,49.0,935.9,False,17.4,258,2.4
90,0 days 01:30:21.458000,17.6,49.0,935.9,False,17.4,256,3.3
92,0 days 01:32:21.489000,17.6,49.0,936.0,False,17.2,242,2.4
93,0 days 01:33:21.507000,17.6,48.0,935.8,False,17.3,218,3.7
95,0 days 01:35:21.525000,17.6,49.0,935.9,False,17.2,246,3.4
97,0 days 01:37:21.531000,17.6,48.0,936.0,False,17.2,219,3.3
98,0 days 01:38:21.532000,17.6,48.0,936.1,False,17.2,230,4.7
100,0 days 01:40:21.530000,17.6,48.0,936.0,False,17.2,247,2.5
102,0 days 01:42:21.528000,17.5,46.0,936.1,False,17.1,238,3.0
103,0 days 01:43:21.533000,17.6,47.0,936.2,False,17.0,235,2.9
105,0 days 01:45:21.536000,17.5,47.0,936.0,False,17.1,203,4.2
107,0 days 01:47:21.552000,17.5,46.0,936.0,False,17.1,216,4.5
109,0 days 01:49:21.581000,17.5,46.0,936.3,False,17.0,231,3.2
110,0 days 01:50:21.585000,17.4,45.0,936.1,False,17.0,229,3.2
112,0 days 01:52:21.598000,17.3,45.0,936.1,False,17.0,216,1.7
113,0 days 01:53:21.615000,17.3,44.0,936.1,False,17.0,227,3.5
115,0 days 01:55:21.639000,17.3,44.0,936.0,False,16.9,265,4.4
117,0 days 01:57:21.669000,17.4,44.0,936.2,False,17.0,232,5.2
118,0 days 01:58:21.633000,17.3,43.0,936.1,False,16.9,226,3.4
120,0 days 02:00:21.652000,17.3,43.0,936.0,False,16.8,207,4.3
121,0 days 02:01:21.668000,17.3,43.0,936.0,False,16.8,202,3.4
123,0 days 02:03:21.672000,17.2,43.0,935.9,False,16.8,240,3.2
125,0 days 02:05:21.672000,17.3,43.0,936.0,False,16.8,231,2.9
126,0 days 02:06:21.674000,17.2,43.0,936.1,False,16.8,245,4.7
128,0 days 02:08:21.674000,17.1,43.0,936.1,False,16.8,300,3.2
129,0 days 02:09:21.676000,17.1,43.0,936.0,False,16.8,254,3.0
131,0 days 02:11:21.676000,17.1,43.0,936.2,False,16.7,215,4.4
133,0 days 02:13:21.708000,17.1,43.0,936.2,False,16.7,249,3.8
134,0 days 02:14:21.729000,17.1,43.0,936.2,False,16.7,197,3.4
136,0 days 02:16:21.755000,17.1,43.0,936.2,False,16.7,238,3.2
138,0 days 02:18:21.791000,17.0,43.0,936.2,False,16.7,209,3.5
57,0 days 00:57:21.246000,18.0,51.0,935.8,False,18.0,297,2.7
58,0 days 00:58:21.259000,18.0,50.0,936.0,False,18.2,274,1.2
60,0 days 01:00:21.255000,18.0,50.0,935.9,False,18.0,263,1.1
62,0 days 01:02:21.270000,18.0,50.0,936.0,False,17.9,243,2.7
63,0 days 01:03:21.283000,17.9,50.0,935.9,False,17.8,227,2.7
65,0 days 01:05:21.289000,17.9,51.0,935.9,False,17.7,255,2.0
67,0 days 01:07:21.296000,17.9,50.0,935.9,False,17.7,208,2.7
68,0 days 01:08:21.312000,17.9,50.0,935.9,False,17.6,256,2.9
70,0 days 01:10:21.324000,17.9,51.0,936.0,False,17.6,256,3.1
72,0 days 01:12:21.338000,17.9,50.0,936.0,False,17.7,261,2.0
73,0 days 01:13:21.360000,17.9,51.0,935.9,False,17.6,271,3.1
75,0 days 01:15:21.376000,17.9,51.0,936.0,False,17.7,258,1.7
77,0 days 01:17:21.390000,17.9,50.0,935.8,False,17.5,223,2.1
79,0 days 01:19:21.387000,17.8,50.0,936.1,False,17.5,257,2.5
80,0 days 01:20:21.391000,17.7,50.0,936.0,False,17.5,252,2.5
82,0 days 01:22:21.420000,17.7,50.0,936.0,False,17.4,273,3.9
84,0 days 01:24:21.438000,17.7,50.0,936.2,False,17.4,227,3.2
85,0 days 01:25:21.441000,17.6,50.0,936.2,False,17.3,234,3.0
87,0 days 01:27:21.440000,17.6,50.0,936.0,False,17.3,243,3.1
89,0 days 01:29:21.444000,17.7,49.0,936.0,False,17.5,251,2.1
90,0 days 01:30:21.458000,17.6,49.0,935.9,False,17.4,256,3.3
92,0 days 01:32:21.489000,17.6,49.0,936.0,False,17.2,242,2.4
94,0 days 01:34:21.529000,17.6,48.0,936.1,False,17.3,227,3.1
95,0 days 01:35:21.525000,17.6,49.0,935.9,False,17.2,246,3.4
97,0 days 01:37:21.531000,17.6,48.0,936.0,False,17.2,219,3.3
99,0 days 01:39:21.536000,17.6,48.0,936.0,False,17.1,262,3.3
101,0 days 01:41:21.540000,17.5,47.0,936.0,False,17.1,197,4.9
102,0 days 01:42:21.528000,17.5,46.0,936.1,False,17.1,238,3.0
104,0 days 01:44:21.529000,17.5,47.0,936.1,False,17.0,214,4.1
105,0 days 01:45:21.536000,17.5,47.0,936.0,False,17.1,203,4.2
107,0 days 01:47:21.552000,17.5,46.0,936.0,False,17.1,216,4.5
109,0 days 01:49:21.581000,17.5,46.0,936.3,False,17.0,231,3.2
110,0 days 01:50:21.585000,17.4,45.0,936.1,False,17.0,229,3.2
112,0 days 01:52:21.598000,17.3,45.0,936.1,False,17.0,216,1.7
114,0 days 01:54:21.635000,17.4,44.0,936.1,False,17.0,258,3.0
115,0 days 01:55:21.639000,17.3,44.0,936.0,False,16.9,265,4.4
117,0 days 01:57:21.669000,17.4,44.0,936.2,False,17.0,232,5.2
118,0 days 01:58:21.633000,17.3,43.0,936.1,False,16.9,226,3.4
120,0 days 02:00:21.652000,17.3,43.0,936.0,False,16.8,207,4.3
122,0 days 02:02:21.669000,17.3,43.0,936.0,False,16.9,237,3.4
123,0 days 02:03:21.672000,17.2,43.0,935.9,False,16.8,240,3.2
125,0 days 02:05:21.672000,17.3,43.0,936.0,False,16.8,231,2.9
127,0 days 02:07:21.670000,17.2,43.0,936.1,False,16.8,245,3.8
128,0 days 02:08:21.674000,17.1,43.0,936.1,False,16.8,300,3.2
130,0 days 02:10:21.665000,17.1,43.0,936.1,False,16.7,234,4.0
131,0 days 02:11:21.676000,17.1,43.0,936.2,False,16.7,215,4.4
133,0 days 02:13:21.708000,17.1,43.0,936.2,False,16.7,249,3.8
135,0 days 02:15:21.736000,17.1,43.0,936.1,False,16.7,274,4.0
136,0 days 02:16:21.755000,17.1,43.0,936.2,False,16.7,238,3.2
138,0 days 02:18:21.791000,17.0,43.0,936.2,False,16.7,209,3.5
57,0 days 00:57:21.246000,18.0,51.0,935.8,False,18.0,297,2.7
58,0 days 00:58:21.259000,18.0,50.0,936.0,False,18.2,274,1.2
60,0 days 01:00:21.255000,18.0,50.0,935.9,False,18.0,263,1.1
62,0 days 01:02:21.270000,18.0,50.0,936.0,False,17.9,243,2.7
63,0 days 01:03:21.283000,17.9,50.0,935.9,False,17.8,227,2.7
65,0 days 01:05:21.289000,17.9,51.0,935.9,False,17.7,255,2.0
